model      ,capacity  ,thickness (mm) ,width (mm) ,length (mm) ,voltage
LP114366   ,4000 mAh  ,11             ,43         ,66          ,3.7V   
LP1144151  ,3750 mAh  ,11             ,44         ,151         ,3.7V   
LP114443   ,2850 mAh  ,11             ,44         ,43          ,3.7V   
LP114443   ,2800 mAh  ,11             ,44         ,43          ,3.7V   
LP114542   ,2800 mAh  ,11             ,45         ,42          ,3.7V   
LP114545   ,3200 mAh  ,11             ,45         ,45          ,3.7V   
LP114564   ,4650 mAh  ,11             ,45         ,64          ,3.7V   
LP114647   ,3100 mAh  ,11             ,46         ,47          ,3.7V   
LP114760   ,2800 mAh  ,11             ,47         ,60          ,3.7V   
LP114763   ,4700 mAh  ,11             ,47         ,63          ,3.7V   
LP115053   ,4700 mAh  ,11             ,50         ,53          ,3.7V   
LP115453   ,5000 mAh  ,11             ,54         ,53          ,3.7V   
LP115570   ,5000 mAh  ,11             ,55         ,70          ,3.7V   
LP115570   ,4000 mAh  ,11             ,55         ,70          ,3.7V   
LP1160100  ,10000 mAh ,11             ,60         ,100         ,3.7V   
LP1165113  ,10000 mAh ,11             ,65         ,113         ,3.7V   
LP117996   ,8000 mAh  ,11             ,79         ,96          ,3.7V   
LP1190185  ,23000 mAh ,11             ,90         ,185         ,3.7V   
LP122056   ,1300 mAh  ,12             ,20         ,56          ,3.7V   
LP122222   ,280 mAh   ,12             ,22         ,22          ,3.7V   
LP122542   ,1100 mAh  ,12             ,25         ,42          ,3.7V   
LP122735   ,950 mAh   ,12             ,27         ,35          ,3.7V   
LP122940   ,1750 mAh  ,12             ,29         ,40          ,3.7V   
LP122940   ,1800 mAh  ,12             ,29         ,40          ,3.7V   
LP123158   ,2550 mAh  ,12             ,31         ,58          ,3.7V   
LP123235   ,1700 mAh  ,12             ,32         ,35          ,3.7V   
LP123373   ,3800 mAh  ,12             ,33         ,73          ,3.7V   
LP123450   ,2750 mAh  ,12             ,34         ,50          ,3.7V   
LP123450   ,2000 mAh  ,12             ,34         ,50          ,3.7V   
LP123450   ,1600 mAh  ,12             ,34         ,50          ,3.7V   
LP123837   ,2300 mAh  ,12             ,38         ,37          ,3.7V   
LP123840   ,2200 mAh  ,12             ,38         ,40          ,3.7V   
LP123840   ,2400 mAh  ,12             ,38         ,40          ,3.7V   
LP123840   ,2450 mAh  ,12             ,38         ,40          ,3.7V   
LP123846   ,2900 mAh  ,12             ,38         ,46          ,3.7V   
LP123863   ,4000 mAh  ,12             ,38         ,63          ,3.7V   
LP123949   ,3350 mAh  ,12             ,39         ,49          ,3.7V   
LP123967   ,4500 mAh  ,12             ,39         ,67          ,3.7V   
LP124040   ,2700 mAh  ,12             ,40         ,40          ,3.7V   
LP124042   ,2700 mAh  ,12             ,40         ,42          ,3.7V   
LP124052   ,3100 mAh  ,12             ,40         ,52          ,3.7V   
LP124065   ,4000 mAh  ,12             ,40         ,65          ,3.7V   
LP124147   ,2600 mAh  ,12             ,41         ,47          ,3.7V   
LP124345   ,3400 mAh  ,12             ,43         ,45          ,3.7V   
LP124575   ,5400 mAh  ,12             ,45         ,75          ,3.7V   
LP124770   ,6000 mAh  ,12             ,47         ,70          ,3.7V   
LP124962   ,5600 mAh  ,12             ,49         ,62          ,3.7V   
LP124962   ,5500 mAh  ,12             ,49         ,62          ,3.7V   
LP125065   ,5000 mAh  ,12             ,50         ,65          ,3.7V   
LP125247   ,4250 mAh  ,12             ,52         ,47          ,3.7V   
LP125678   ,8000 mAh  ,12             ,56         ,78          ,3.7V   
LP1260100  ,10000 mAh ,12             ,60         ,100         ,3.7V   
LP1260110  ,10000 mAh ,12             ,60         ,110         ,3.7V   
LP1260110  ,9500 mAh  ,12             ,60         ,110         ,3.7V   
LP1260110  ,9000 mAh  ,12             ,60         ,110         ,3.7V   
LP1260110  ,8000 mAh  ,12             ,60         ,110         ,3.7V   
LP126090   ,8000 mAh  ,12             ,60         ,90          ,3.7V   
LP126280   ,10000 mAh ,12             ,62         ,80          ,3.7V   
LP126365   ,6500 mAh  ,12             ,63         ,65          ,3.7V   
LP1270130  ,11000 mAh ,12             ,70         ,130         ,3.7V   
LP132840   ,1250 mAh  ,13             ,28         ,40          ,3.7V   
LP133755   ,3850 mAh  ,13             ,37         ,55          ,3.7V   
LP133840   ,2500 mAh  ,13             ,38         ,40          ,3.7V   
LP134053   ,3500 mAh  ,13             ,40         ,53          ,3.7V   
LP134055   ,3500 mAh  ,13             ,40         ,55          ,3.7V   
LP134068   ,4400 mAh  ,13             ,40         ,68          ,3.7V   
LP134363   ,4500 mAh  ,13             ,43         ,63          ,3.7V   
LP134663   ,5000 mAh  ,13             ,46         ,63          ,3.7V   
LP135098   ,9300 mAh  ,13             ,50         ,98          ,3.7V   
LP137674   ,10000 mAh ,13             ,76         ,74          ,3.7V   
